block_number,tx_hash,log_index,fpmm,seller,returnAmount,feeAmount,outcomeIndex,outcomeTokensSold
15993234,0xb52e4591dec13441b270712acd05149ed8031588cbd88a31b33dbf20265f8422,350,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,32159909,656324,0,644999977
15993254,0xc2c853009264061dee0f6b56991cb3220138cf3fa66b6214fa03f55b245a2b80,216,0x4a740a0d4bdd77060765b972423d04fc8eee6100,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,34690593,707971,0,1691899966
15993263,0xc938d1c23289b497cd1919f9d9d104e09a471a70c259afbea873c407d4c312fd,265,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,7648345,3826,0,70000003
15993272,0x6962c4f195d6e56c2ae5129934b8db0af7582825dfbd51e7b198a676fc4342ba,216,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,2940200,1470,0,29999989
15993289,0x536c724ad997d43c04790e8ccca42e5e01285695c431ef683280348b70861f94,259,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,95638257,76571,0,1961413984
15993290,0x5e2b6cad5fa253d81ff8ebbd57287f730744100d7cbeb7364a994b77e6d20752,274,0x4a740a0d4bdd77060765b972423d04fc8eee6100,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,33704306,687842,0,1733129944
15993319,0xc7fffda0c0fc2005c32babe466ed5e76495e4fe86e123dfa187459ef99a9cecf,416,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,382231080,306029,0,7999999983
15993327,0x807383175c999b27b87dc14b7ea1c9994b5d0a311afa81af7805093e278dbcec,197,0x51b93cc1b34a17efb9db0727d71b960c55891b48,0x5782544b5f3fb59e306bd210f132d464d057fc36,22364640,456421,0,89825666
15993376,0xa9d711dfd6b8c06dd6ab43ba8fbc98a977bfd9626f91272b3542990a7a35952d,380,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,91834099,73526,0,1961416665
15993437,0x079fdf01a866f7647ecd4aa89a7ac54930b046e6d549829950dd94c2ce906643,158,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,90118961,72152,0,1961417887
15993586,0x107d80deebf03ea50acff2d15be4db0bfb459d1e16e36e01e931d5f695896a59,23,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,89414583,71588,0,1961418393
15993615,0xf28fe3afc6c7175bbce79c0f8a072fd24e2372a7e0f7abbc127b5459342c4886,271,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,88718042,71031,0,1961418911
15993868,0xd49cda2b0afe12f89415a3cd3ac8c8fd8b3de77f74029f06297b37f3b6c2ed47,32,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0x7a01bdcb19254cebce340f514d363b21fdbfb975,102445317,51248,1,115201484
15993937,0x321c2ee4853019ac968bf4f401904d882c258f0890e34a5408679243a4fc61a6,668,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,77895282,1589699,0,1489999996
15993965,0x1afa3abe5d28856e02f0901871be10f5f897929d3bb00ffa6c94fb78c19a7c5b,283,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,8625670,4314,0,74999993
15994108,0xb6b3fda29129220b09e3b64ee3e701f1d4ad192eebf14b62dd1888d266f927d4,62,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,43252922,882712,0,850999986
15994138,0x995be1fd33343e4b4238ee16ee2eb8b78fe67ba3ad80266a6a46e6461bcfb903,294,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,21520917,439202,0,429999995
15994385,0x0ea72a09447cd58a627b12e3c1b4a34d434af1826a310713919fed0051fd054e,442,0x7b4686a753e0e5a4e38957b9763a0e44d64f91d2,0x687349b551df31c4a330bbaf1519458cb521d9e5,61786648,1260952,0,250072773
15995311,0xf4add03a3b79d5d43e09efda93b9e1094e468617d96ad1b9600359058865db27,75,0x4568e4dc02ab786893f3f97c16e31faa836c8958,0x44e960934b5c09aa544d178ff653e0a41ff902e4,131413526,2681908,0,299999998
15995440,0x7a20296fd9e976ec3fd7023e0900ae008adc6d453544adfd8d88838661a0f3c2,515,0x11eb79c7a18259bfce838021bc49a005974f06bf,0x6c9264336622411ea73283e7624bb2a6e00b1322,16239491,331418,1,299999999
