block_number,tx_hash,log_index,fpmm,buyer,investmentAmount,feeAmount,outcomeIndex,outcomeTokensBought
15993419,0x261c0221e4904af45890603f72cc99e7415863a741372ff09f3719f980812b0a,635,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,2600000000,2080000,1,2724378598
15993419,0xf2e2fde0460f3f57e7dce672ee319ff320cacb4680d1ebaf57cf726497e7f1a1,652,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x7f2de588e3d990d66fef63bf2378dacc87a139a8,111000000,2220000,0,2101925794
15993453,0x6e1876dd982c65f6d0be35d8e805a30eec4d49379fc735a82883fe43d1a87ad3,599,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,2000000,40000,1,2240281119
15993513,0x86c202c167a030ddb6667b06d13d23db182be9eaaace410b56ef2055aa0aefe3,659,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,2000000,40000,1,2078567105
15993745,0x0c419f9f99f5786334ddf7c856c52c9d30eeae10c7ee566e687581409d7e4c58,844,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x7f2de588e3d990d66fef63bf2378dacc87a139a8,55000000,1100000,0,1004303733
15993746,0xb21682f75c6e33c1478bcbc46e01e436f990d27400e4abef214ea796271f3bd8,528,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,2300000000,1840000,1,2406139819
15993747,0xefb12d473ea6eee0b50ce2d92fbb6f6c0230d111117e99880a49f3d0399f226e,283,0xf51250d5762690ee8dc63ee0ecb4a1e830bc57aa,0xf2688e16220bbbff71f0ee5a6e327a71ea73e6e2,5000000,100000,0,8531481
15993770,0x1f1cfa2092ba631538ac2c2108c9ccf921f65f9c701cf57a487b8abd4fe4975b,155,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0x687349b551df31c4a330bbaf1519458cb521d9e5,15000000,300000,1,40192957
15993798,0x9e346be2c9cd3d90e6310b37ae636f907257feaff7feff67444409c38c3dc9cd,725,0x4568e4dc02ab786893f3f97c16e31faa836c8958,0x5934f2b087df19b588623979182be5b28efa4cc0,10000000,200000,1,17861030
15993798,0x3ec95e45f15078bed024c0b25d775ffe1ccfc4cc84e7d253ceed755ec37e0920,814,0xe3c0c9c4d097b5ebc22e87669b2b384189558c46,0x5782544b5f3fb59e306bd210f132d464d057fc36,20000000,400000,1,34379593
15993798,0x3bbd6fc684467d73556ac6577c80cba9f6edbd13f320d717ce9933c20f217136,860,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0xbb90ad2434c27716e987f6318df47285c6ddffbe,1000000,500,0,10407896
15993798,0x2117e3a4c03ee95aaaf2e31609820bd840713d5959c12ecdcbc78a2dbfc474d2,889,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,200000,4000,1,199634733
15993804,0xd5ed80060af9d266d04e4135c4fafea83086d341ad2d413572dea30a5b586387,297,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,10000,200,0,180444
15993889,0xac929538eb7f06e3e7c5437444e6272cddacabd15584a5a4aafddd7ddbbea28c,554,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,2250000000,1800000,1,2352796217
15993973,0x25ebab6f606c520a8aa8a95abbc2c4b4d1584756bb198ef6ef5e606dbcc90ae3,157,0x2c3593b02d1c076db5ab8401488b552e43fa490f,0xb1f56fbd81db030502d7cd1bbea695aafbd1823b,2000000,40000,1,2207559
15993977,0x7d4f73ccd4dfec69b2de237827e7e1e0e630d09fbaf3302b67b4fc83a99a6df9,330,0xf080d07409aa8b4fd2004148f586665746190342,0xb1f56fbd81db030502d7cd1bbea695aafbd1823b,2000000,40000,1,2598821
15993982,0xfb9c68851bb078306d53b98bdb3838d4d185db31a42ed366894fbf3ddcf04894,128,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0x5934f2b087df19b588623979182be5b28efa4cc0,10000000,5000,1,11161821
15994053,0xe02b3ac5ca6b48f88ae19e80acd45c628d4ce31b0e26fb2dae0981dbeb148d01,278,0xf1ff648170dc1a2559a941916eeed6496501f93b,0x4b320566488d836a8a64a84b09ef6512b8da1a7e,22413834,448276,0,24667555
15994161,0x556a8bd54f21713f45567c98f1a2b56d50656978610965f3f6f5bd0e6ce75ca5,274,0xffac089ba64b188b0da740b9f364c9f7f6fecfa9,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,9000000,4500,0,121074181
15994173,0x0b30ed9dbe9fdc64492e97bfd184c41410766b99e26aa24483336b2aa49527e6,211,0xffac089ba64b188b0da740b9f364c9f7f6fecfa9,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,20000000,10000,0,267029147
15994216,0x357507b32e6c612a1f2a6443ab1b55df6475c69fc8f67731a723990b0870ed24,336,0xffac089ba64b188b0da740b9f364c9f7f6fecfa9,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,69000000,34500,0,900392016
15994369,0x3e59670a89fa43b11f3e3da32e9a04124e5f4ab41a58f9a3a7ced8742ea3f038,484,0x7b4686a753e0e5a4e38957b9763a0e44d64f91d2,0x687349b551df31c4a330bbaf1519458cb521d9e5,1000000,20000,1,1330285
15994453,0xc84c70b17805aa875ac241c50ce5a60d97c6a3daf07536af0dee7366af693840,235,0xffac089ba64b188b0da740b9f364c9f7f6fecfa9,0x43372356634781eea88d61bbdd7824cdce958882,600000000,300000,1,649708612
