block_number,tx_hash,log_index,exchange,takerOrderHash,takerOrderMaker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled
74999240,0xd5f95dfbd94d2e6c5221f806a8633aa78d4dcee9d4a614f3e755b00d392e0b05,1084,CTFExchange,0x3985102ace8e08d8e1acbf86ade2bdd7ecef8705f55e5f22de6c9b149ce2d2b1,0xa8da39c3802f8a54c1b24956ac174fa9d051291d,0,73818329683676406597262402030740465055390239315746623573657468414401015880216,999998,1724135
74999240,0x2a303268c4248f0ef2bc15700ca9ec877909838ea26a3567ece0ad201a0b5fc1,1098,CTFExchange,0x92d3d9dc741eb9e55713cffea9153ff1cb15804b82f0dd3d225d90d0171a22f5,0x1ff49fdcb6685c94059b65620f43a683be0ce7a5,0,64023853276447473910717802897235893846036426549936106277274450441829027818528,6400000,20000000
74999241,0x3efeed857794f18c13377dd9769d860a8393cb9479a6f8f5fe4b6393b47bb40f,465,CTFExchange,0xe56c0d5d7bf1e6fae83dd07dcc7bcedef695f7f1116e0ec58fc03ad932cd58f5,0x80cbae9bc97343d1352626faec6bd6062373ec13,0,34700209228402429726049570892434529621589158619856854448732327746440346208365,657087900,828190000
74999242,0x6e8aafb18e4b66384c9c471a9dfc9ac236efe6ee3ce564feffbbcb551d4da80f,998,CTFExchange,0x8dd171bcac0be9aab437cb4b0c6642a65a0386ce656a88718d833baab788770d,0xbbb09c4f8ecba6740044e0021d1c4b4cd4fa69d2,7657695835847791018689717113321675701059451635592929427241663379334511279097,0,3530000,3004030
74999242,0x609805c474c05c3508eda448ddc5b533ea4a384c4c620adcedab9b5e62e0dd5b,1020,CTFExchange,0x17dc8b53c64116e978d7e125721ecb922f4c0d12e330fcbad5a9fae7422aa637,0x8eebdd5bb92f52ae0446664174cd7f0ae6594286,0,72213402545998769711123636766651921655153165755936317649722665600548281920234,16199998,22569442
74999243,0x859e6b8e1e08ea4b745ad61c81aa1761cafbaed6d2daf106237bfa32b1dbfb4e,434,CTFExchange,0xcfa93b113bb69ea331f9ed2481448f2eeb6cfc46aa929eb9f6b402c59ce71b73,0x04ee1fe8989db2d32c08e76c78d1875f917448fc,0,112483173598866317229836824249132056560800975513976935451520078215788900945353,10999999,21153845
74999244,0xde87ccd01326b96184cac3e70823a4b5b39ab889c5fb69794be4301088bc53d4,919,CTFExchange,0x5d1a6f0564a971d0286225ee3853b67c9d515520289eefb50ad5b9249d5e8f69,0xcfdb8b11adf8e3ca25743a17c011e7e51e27ec0d,0,60694814462881930972899182995841527426081520724257559247424055067804767306189,4999999,9090908
74999244,0x4b62da53e7a6ba5210d6576ff6f874da818c893c85956f21cc6fdd2e8f46ac1e,957,CTFExchange,0x9a69c2e75de52a37d963dfad7528a310c78686e5866068ddc9114e6f26342c9c,0x7bb380292fd13b5ca4851dbcd73234d30d1b2682,0,44361704070252525949846532827809078235078843683629278328892250329092843838220,35010000,150000000
74999244,0xf83ace49a67f31244cc46892c5266abe17a03f60d3b2cc2f7cb2ad8cd6216bc2,987,CTFExchange,0x473add36e109ddfc326f57d7a785225733940907c34a186839b19e2c317a3597,0xd570343e31b3e8df8038935eda9d8a30b4f8f156,0,64023853276447473910717802897235893846036426549936106277274450441829027818528,9999999,26904760
74999244,0x680d2364b048f9a34b8562e8e4c2aa5adb7ea4f5cd143006a65a273fd0e84c2c,996,CTFExchange,0xf8f18889fd7ce84202c03f0dba29bb4183622d81c59e91ecadfd81e90e944c01,0x9155e8cf81a3fb557639d23d43f1528675bcfcad,60652137523181125168482146963718096562535021607381944009168391719481583056075,0,18000000,17820000
