block_number,tx_hash,log_index,stakeholder,marketId,indexSet,amount
74996062,0xa870ba36675d47725c28f3ee466940561ede533a7b561507dcffbe5c9b141f28,636,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,15,69000000
74996068,0x6f18d45b03e9865f6648dd553f78463ad55764e0b9ef3b2815d1728f0ef48e17,38,0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,3,46600000
74996070,0x883eafd5b37125ad347325282571925b885fb25c1b0b5392153c90d1e2434e57,18,0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,3,110000000
74996093,0xcd29d90a33915ed4760232b7704c415b2aaebde915702e550fe30da939d545f6,787,0x2a315a8d15cfde768bcd47ba5cacf3ef5894f2f0,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,15,74529413
74996117,0x651103c61d3fddd5a0ac3e737e0ecc69e68ea5177e42a152d206a313928f0a1d,542,0xc0ffa24eb2bfaeaafe11b5c1143281f7c590136b,0x1bdcc22f99efd4a0af525806c64f7e6ee0a1640517b1d0a4a731367b6554be00,4,385980000
74996322,0xc31fb4535887da3f181e02bb589db75332851cc9cd8e3f46c6deea76701eb01d,795,0x4c86cdfff0fcff0f6b56a9ddb9f805b4b28f6993,0x8b3d9073b3e38bd51325ee4c556d7729cfdaf7f1c3140ab9abb2d6d34428a000,17,500000000
74996365,0xfbfad283f289994ee2b6acd6b2183310e959812b153046f1cc511e2b88f2f0d4,470,0x7740253843b20007a4c99c3766878351002acbcd,0xac59a30c1eb00658ffab6102c8053d4bf1ee367fa375e1859b9fffa39279d900,144,17051167
74996450,0x5dd2ffc10e40b8a7e56ef0287aec98e0c89c4cf875927c33168bb0ecc34e7ca6,421,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x0988e77ed51d8e78f5a210eeb5b18cdb04fe71132ebda6d4217229b0a1742a00,127,10009456
74996529,0x3fb9941babbf49fbca8a8a757ed3b88a90c338aec30a36458e9cf0fb3f7af1c0,549,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0xa5e70ee6c9d6afd5f88c1c8281a64d659233bf4588785142e5ae07e1dd970600,15,138000000
74996529,0x2bf20d1a7862ae56f3b4555323c597621be25dba34f32ddb6949d5bfee55e651,689,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x545a905bdf7f7ff5e2f2fef7b1d5d42330f2786e05f2479261b650424fd8a400,27,10000000
