block_number,tx_hash,log_index,conditionId,oracle,questionId,outcomeSlotCount,payoutNumerators
74996330,0x4f02a034b03b2db43d7aea87f444e00eedeb1de4b679ee19a15e1ada96391553,458,0x73563096d70339f270404dd7782143a7804e1a35eb8a75542c1522432d026c0f,0x1754f0f64de768f3c7c5f9335ff1129db2c14a40,0x60ee4469fa81668f44efb1322077b03b6d94a0f2d22f5ff90fb124a09f86582e,2,"[1, 0]"
74996335,0xff02544c2c59acb13d87465704d7232e0264c253c59c5e196f9347df183952f8,397,0xf6aa51785f294b3f7d134f9bce7532801f7656991d509e100976251afcf10d0d,0x58e1745bedda7312c4cddb72618923da1b90efde,0x65a610e46163856b32badaa48226dac14a6d87a12fa00f013869e28980dfde8e,2,"[1, 0]"
74996336,0x96b4f495079504150dad0134f1d144e22f3723bd89fea24618ecceca4e15bef9,1003,0x65f90fd37764b11bec29474357417fdb123a108d298e931c18723e47cf8cd227,0x58e1745bedda7312c4cddb72618923da1b90efde,0xd94c657441d86bbe21bd78176edd6717fca5101ddcc796fcf421f1705f58416a,2,"[1, 0]"
74996761,0xf64a9da0eabe19229d3e4c4905e491bf362d88b41c5a0d434cf1f9b54a4124f6,1000,0x9376aab6fb8911011717e5750f403de860de6f93c2fbdf07e67780ffc12cfe83,0x58e1745bedda7312c4cddb72618923da1b90efde,0x6b2dc5e951fe8ddb1523357fe9796f5e1e89e2c1e9432dca3853d39933953302,2,"[0, 1]"
74996762,0x6f78c0a79eab52efd4c4b9efbbf51749311c8cb1a624fc0f567165d381a77b75,531,0xe04e2620feb2b1c32a216f753ab0cf1d3c4eb153548423e16bf7dac7150fbbab,0x58e1745bedda7312c4cddb72618923da1b90efde,0xcdef6f151e3cd1350832b6f2fe6b74a0fc6a5313720d90ebbedaadd743c35c51,2,"[0, 1]"
74996821,0xf763df0ef043cb0f6ccbcf9285894a4f5550a2d9e831f1ca6f1cb1d6148ec596,6,0xc2a42aea477b136e79bb2fc1ac919c40794d0c821a538c3865a51cae764f7770,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xed3b256be1cda9544fcb45b25707d6c45c2ddee293cf0daef1f57d0c101993b4,2,"[1, 0]"
74997193,0x1471947312c5af7f602511d6fef331b70f9660fd931b969e7c5215fd6e86da79,442,0xaa452a3722ee8985b0a8931813ca72e726e68fa638386ac2b2ede24423b7c41d,0x58e1745bedda7312c4cddb72618923da1b90efde,0xa7a1ab28bca3ad12f8fee65e20459089234c2863c44eb25f6f9bb50f5390e8ac,2,"[0, 1]"
74997196,0x552cc5ea5c72543affd30a300759658e43b2816515af0d817d56cfbe6bec00d7,364,0x20753514912833c1d397a8b68c2b404588bb7d8257d2e6239b8b52af292961d8,0x58e1745bedda7312c4cddb72618923da1b90efde,0x8a0cae6271c620b981d1853819ed8459facc3b7b843b3aca61ea5b53675a229f,2,"[1, 0]"
74997601,0x9baabe6de0704f02cdc12527b38564d027072b225d7c16b7412f865b35a74a06,4,0x816f82e8dea58ee2fdbf2fd3c1baa1b5d8d82bb7c77c2bb7c25a44db90fa5d17,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xc53c3a9dfe724085038c7cb439db3520db920426ce7083ae60dcafb474e128ee,2,"[1, 0]"
74997601,0xf23209713922bd06d7dc0d43804e3691031b85fd9dc67684b535d60ba94293d1,9,0x1446d988e7ef43ab71934e4807ce9caceaa6405638a49a72671d66d42a43a101,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xdcafcc9a14e603bd8b7e6c820388219b45a8440847c7a32a04b8457a15ff5ac6,2,"[1, 0]"
74997602,0x5db133b43f6077063f1c82f61fd512e0fcb04e67c7476bb7508aaf689e636566,17,0x356087ab1b6a1bbe8c516158e8c46cf6d2f71b0202c227bc380b50f51da321af,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x12604feee1e50081e6e327c38ec42911dc2cc06059e1bfe0acef2027d1aecad5,2,"[1, 0]"
74997602,0x09071b2914d746839972010745ac08ea9c802ba7dfd6d4dd259292d85e276552,22,0xfdd8f3f1dee6536e3319609f2adbca86990604e6357e7fb50b567814babaf996,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x1b8c6dbf3eefe4fa45fa417b525d980e0f49c6ca59c42e1090e7ea2c1506890e,2,"[1, 0]"
74997606,0xdcb5280cd5ba308a496b6091c4a36b9ee952aa9b96edc4db72f918b51fdc921e,494,0xb7f48ff23e5608cf684717d266daf072d9e72df13cce670770b082606c3b3a38,0x58e1745bedda7312c4cddb72618923da1b90efde,0xf5d25069aecae484000f22132c49f848201341e96ae3e7669a9a5bd72930a3b6,2,"[1, 0]"
74997606,0xdce36db87986631231e49a358d124e298f0dac006bb5d89c196ed790e5f29eb1,560,0xa5e5a90405252ec0743633e803a35ac28ea56323266a502f0bff19f58266902f,0x58e1745bedda7312c4cddb72618923da1b90efde,0xfac60c4bb9b3ea67b2cdf9074def5259fccb5d18475ddc9c94ca56a63d91f294,2,"[1, 0]"
74997710,0xe9b2fba67463a0cb66278eff18e6443414e01abda5f88df21202a36de7891096,8,0xb51ec6066e2281dec13cb65738f8b755bfab95d2603ad495801df793fe572277,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x818119ebb99f0afd13c25b6704ef0e8e78d1fdf051be28f58ae9ef2f51cde204,2,"[0, 1]"
74998030,0xeef7409d34f91282fcef861b2eb6a11b477a392a8c22bb259a63b52407336545,945,0x0aac3cb0eab87f31f5a34030a3ddbb99a4ad77d178c1ebeb91cca765f750b5d3,0x58e1745bedda7312c4cddb72618923da1b90efde,0xc216b8df3c61fb985b73c3f58b3afd7900b826f659245b8fd5741adea2f84e40,2,"[0, 1]"
74998031,0xdbdc02a78febc6eaad5d5e3d49861c8fb6ce3fdc423146ccab6614afe92fd089,625,0xe94f120e2de1bdf49473b1cc58185ecee0f1af6dcbbf2e2f5c4c27128861653f,0x58e1745bedda7312c4cddb72618923da1b90efde,0x7621406dd4bcf968f424c05d5260debc2dc73c4edea6e3ee0a08baf3d04aa142,2,"[1, 0]"
74998450,0xe4f0bae780475de10302574164183e3f034fc636ff74b43b3968c82c93f63497,2,0xe6b9105d65f31b60f0d0516658e023dc3218eb74b230e4827ea9f80c457e3e89,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x154aa7d4f4e5e7dee1604ca6f88c0964a5f0e7f13ec9ffd896b9e12a47a26d00,2,"[0, 1]"
