block_number,tx_hash,log_index,conditionId,oracle,questionId,outcomeSlotCount
74993805,0xcab28c673dd09ecf254d1c6bd36b8934daa3a2ec60dcb7386cca12235c2ce5ec,914,0x2aa4c2e95f260655ece3fdc2caf3eb22e39e1c708c5129f2f390ba75bbad1028,0x58e1745bedda7312c4cddb72618923da1b90efde,0xd91128fc874150554989dfa43381de4a2e75b215b85d4c25f6cd725e11b6dbfd,2
74994226,0x3d578c3b289fc5b6fec13de480c2f01722131acdf0c5c017f6a6d6ecee1fef26,728,0xb6e5238be486c4d806fb9d2536cefa6092bd1a5f68dd06447c8d082c267aea18,0x58e1745bedda7312c4cddb72618923da1b90efde,0xe205084b41b750cbbfdd0cde5a41ca7cf1f1faf0e3fb774fa18cb244f6d7c646,2
74994228,0x3a0f0b6432e555fc4e614288104a90db8b3bd1d88eafc957a3afbd3ba8848f00,876,0x4eb3b849ae3771148ab8f82351e0c3d8ead088099e05635c95f403727de9505f,0x58e1745bedda7312c4cddb72618923da1b90efde,0x171a0d5e912cab2a5f007fa749629590cc3ccac69eeb3a5682ee017c690d2b7d,2
74994650,0x275b37bd372ae45a818debb8aeeab14397f72e0c6f9d2b312146d228e881bf4f,541,0x65f90fd37764b11bec29474357417fdb123a108d298e931c18723e47cf8cd227,0x58e1745bedda7312c4cddb72618923da1b90efde,0xd94c657441d86bbe21bd78176edd6717fca5101ddcc796fcf421f1705f58416a,2
74994651,0xa29405d93a776a042dc112dc8e06e62ad1e10de835919e8e121cb4400ea2b245,1076,0xf6aa51785f294b3f7d134f9bce7532801f7656991d509e100976251afcf10d0d,0x58e1745bedda7312c4cddb72618923da1b90efde,0x65a610e46163856b32badaa48226dac14a6d87a12fa00f013869e28980dfde8e,2
74995073,0x5fb843e88d435dcec3bc4e5bf8aede5de139b0d72547bd6687e4bc3274aa4ef4,1116,0x9376aab6fb8911011717e5750f403de860de6f93c2fbdf07e67780ffc12cfe83,0x58e1745bedda7312c4cddb72618923da1b90efde,0x6b2dc5e951fe8ddb1523357fe9796f5e1e89e2c1e9432dca3853d39933953302,2
74995075,0x42d90dc7368174e7ed40dc7d85dfb3d98a3d57dd86b13469128cfcb40e9dd440,487,0xe04e2620feb2b1c32a216f753ab0cf1d3c4eb153548423e16bf7dac7150fbbab,0x58e1745bedda7312c4cddb72618923da1b90efde,0xcdef6f151e3cd1350832b6f2fe6b74a0fc6a5313720d90ebbedaadd743c35c51,2
74995513,0xd02566f970b19b432a6bf0f9b0c91bfa60a26bdf161efea42b3a1809b6bc2e98,1243,0x20753514912833c1d397a8b68c2b404588bb7d8257d2e6239b8b52af292961d8,0x58e1745bedda7312c4cddb72618923da1b90efde,0x8a0cae6271c620b981d1853819ed8459facc3b7b843b3aca61ea5b53675a229f,2
74995520,0xdcbd537bd299e6ecaedae22ec423c404c3934422ff4deb6875193f26835ce6f0,1507,0xaa452a3722ee8985b0a8931813ca72e726e68fa638386ac2b2ede24423b7c41d,0x58e1745bedda7312c4cddb72618923da1b90efde,0xa7a1ab28bca3ad12f8fee65e20459089234c2863c44eb25f6f9bb50f5390e8ac,2
74995922,0xcd1342977d532e0fa8c0cd3ca8b6154c3bc736030d5bd82304a348875e84d431,716,0xa5e5a90405252ec0743633e803a35ac28ea56323266a502f0bff19f58266902f,0x58e1745bedda7312c4cddb72618923da1b90efde,0xfac60c4bb9b3ea67b2cdf9074def5259fccb5d18475ddc9c94ca56a63d91f294,2
74996344,0x8974e2bc2c39ea5e515ef77754050f15aad8c558e35f0bdbc9c3c7b88b36f153,587,0xe94f120e2de1bdf49473b1cc58185ecee0f1af6dcbbf2e2f5c4c27128861653f,0x58e1745bedda7312c4cddb72618923da1b90efde,0x7621406dd4bcf968f424c05d5260debc2dc73c4edea6e3ee0a08baf3d04aa142,2
74996345,0xab603fafe2dafcba6c2459ff3e57c09bd537e0f5c456d438a7a449dc2bee332d,476,0xb7f48ff23e5608cf684717d266daf072d9e72df13cce670770b082606c3b3a38,0x58e1745bedda7312c4cddb72618923da1b90efde,0xf5d25069aecae484000f22132c49f848201341e96ae3e7669a9a5bd72930a3b6,2
74996346,0xc852e59db42e05d973db3254540939af388d4f0c954aa5a30e49cae24932f477,429,0x0aac3cb0eab87f31f5a34030a3ddbb99a4ad77d178c1ebeb91cca765f750b5d3,0x58e1745bedda7312c4cddb72618923da1b90efde,0xc216b8df3c61fb985b73c3f58b3afd7900b826f659245b8fd5741adea2f84e40,2
74996768,0xe86b0a7a2a3ba7f73670068d2df66fc1811b82e2d3faaea98a893fee96cfb47f,1741,0x1b613b6493d3c0c39173100df9eccebc16adcf69b405153eac229896271fb94e,0x58e1745bedda7312c4cddb72618923da1b90efde,0x6afc3960f9aa9e637a812286df7a3263a89fd8df9ffc800060126721186d5c03,2
74996768,0x2bfd2aa444efba46af4d9e0318eb3e71bbb83f7cb9f0422292d1cce9f5bee888,1743,0x480f9c6b11d8a2de904731d74b697c4f8f0903ca77cb3e1bb3e7229f08f082d8,0x58e1745bedda7312c4cddb72618923da1b90efde,0x17617ce081a6b8ffb5d14ce43eab67100a8d3e265e7f3c9bf74c51635d7638b3,2
74997194,0x62d338376ec5a7b7fb3be1414642ef4f796abb22539069db067631b448678514,585,0x3dd9120b5d2f969ed0a3e1ab4c921bf47daf12a9ec7577c6c582745927d916e5,0x58e1745bedda7312c4cddb72618923da1b90efde,0x9a4cc6f2e8ab70e5eaa8f974679327208c2fda3596ba0d518fc400d5f34dc624,2
74997198,0xb63cf5d25692ddb64fb33324e38db3c4c27bdb2b2caed580d7dd4ffc97455e0f,259,0x77f06a1880abd464346c1e6b4478c35ac1231b74a6362fae4c4dff7bc8b3b1f6,0x58e1745bedda7312c4cddb72618923da1b90efde,0x9c5560fac957bfb3e5ec4a4c49e47d27d66a6a1bff42e2704042d6ea755c52c9,2
74997616,0x533d10087d03edd7df2875225f3b3595aa42380c8de12cb7ef70c878a34f7355,758,0x7db338b2cdbfd5f0d435066d4b7889de547cb22b72a21132bd4f9ca487a68936,0x58e1745bedda7312c4cddb72618923da1b90efde,0x5644ade7fad2c2d32621b362bb8dfdbd52cb3c45a265061e8ef9ccde5ea7ee06,2
74997616,0xe6138f46e2c2966042c9d87506999fab8667c9d3a2ea21a48e8ef2b5d940ea20,760,0x456d18525adf0a568ae1f933a3c2584dc2557cdfc56e4691b41076ca1340e069,0x58e1745bedda7312c4cddb72618923da1b90efde,0xf61637962937969621c32bdad430c70245c64700ed272fc4a23d04cf0d3d2bf6,2
